name,source,sourcevalue,port,protocol,description
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.21.244.0/22,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.22.200.0/22,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.31.4.0/22,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,104.16.0.0/12,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,108.162.192.0/18,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,131.0.72.0/22,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,141.101.64.0/18,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,162.158.0.0/15,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,172.64.0.0/13,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,173.245.48.0/20,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,188.114.96.0/20,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,190.93.240.0/20,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,197.234.240.0/22,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,198.41.128.0/17,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2400:cb00::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2405:8100::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2405:b500::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2606:4700::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2803:f800::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2a06:98c0::/29,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2c0f:f248::/32,80,tcp,Cloudflare HTTP whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.21.244.0/22,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.22.200.0/22,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,103.31.4.0/22,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,104.16.0.0/12,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,108.162.192.0/18,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,131.0.72.0/22,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,141.101.64.0/18,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,162.158.0.0/15,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,172.64.0.0/13,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,173.245.48.0/20,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,188.114.96.0/20,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,190.93.240.0/20,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,197.234.240.0/22,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ip,198.41.128.0/17,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2400:cb00::/32,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2405:8100::/32,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2405:b500::/32,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2606:4700::/32,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,24433:f4430::/32,443,tcp,Cloudflare HTTPS whitelist
sgr-eas-prd-cloudflare-whitelist,cidr_ipv6,2a06:98c0::/29,443,tcp,Cloudflare HTTPS whitelist
